SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,SessionMonth,SessionDay,Promts_Per_Min,duration_bin,Discipline_mod,StudentLevel_ord
SESSION00053,Undergraduate,Computer Science,2025-06-08,7.98,1,Research,4,Idea Drafted,True,4.2,6,Sunday,0.12531328320802004,6-15,Computer Science,1
SESSION00054,High School,Biology,2024-07-10,15.52,3,Writing,5,Assignment Completed,True,5.0,7,Wednesday,0.19329896907216496,16-30,Biology,0
SESSION00055,Undergraduate,Psychology,2024-07-08,6.98,2,Coding,2,Idea Drafted,True,2.8,7,Monday,0.28653295128939826,6-15,Psychology,1
SESSION00056,Undergraduate,Engineering,2024-12-16,6.25,2,Coding,4,Assignment Completed,True,5.0,12,Monday,0.32,6-15,Engineering,1
SESSION00057,High School,Engineering,2024-09-05,58.92,19,Homework Help,4,Assignment Completed,True,3.9,9,Thursday,0.3224711473183978,31-60,Engineering,0
SESSION00058,Undergraduate,Biology,2024-06-25,9.56,4,Coding,3,Assignment Completed,True,4.9,6,Tuesday,0.41841004184100417,6-15,Biology,1
SESSION00059,High School,Business,2025-01-31,31.58,9,Studying,4,Idea Drafted,True,4.6,1,Friday,0.2849905003166561,31-60,Business,0
SESSION00060,Graduate,Psychology,2024-11-09,2.38,1,Studying,5,Assignment Completed,False,4.5,11,Saturday,0.42016806722689076,0-5,Psychology,2
SESSION00061,Undergraduate,Computer Science,2024-06-30,17.72,6,Homework Help,2,Assignment Completed,True,3.1,6,Sunday,0.33860045146726864,16-30,Computer Science,1
SESSION00062,Undergraduate,Math,2025-03-09,14.78,7,Coding,3,Assignment Completed,False,2.5,3,Sunday,0.4736129905277402,6-15,Math,1
SESSION00063,Undergraduate,Computer Science,2025-06-21,10.6,2,Coding,2,Assignment Completed,True,1.7,6,Saturday,0.18867924528301888,6-15,Computer Science,1
SESSION00064,Undergraduate,Business,2024-11-15,5.47,1,Homework Help,4,Assignment Completed,True,3.9,11,Friday,0.18281535648994515,6-15,Business,1
SESSION00065,High School,Psychology,2025-03-02,12.2,2,Brainstorming,4,Idea Drafted,True,4.4,3,Sunday,0.1639344262295082,6-15,Psychology,0
SESSION00066,Undergraduate,Biology,2024-11-02,8.89,3,Coding,3,Assignment Completed,True,2.7,11,Saturday,0.3374578177727784,6-15,Biology,1
SESSION00067,Undergraduate,Computer Science,2024-12-02,6.84,1,Studying,3,Idea Drafted,True,2.5,12,Monday,0.14619883040935672,6-15,Computer Science,1
SESSION00068,Undergraduate,Business,2025-04-11,12.79,2,Coding,3,Assignment Completed,True,3.8,4,Friday,0.15637216575449572,6-15,Business,1
SESSION00069,Undergraduate,History,2025-05-15,41.2,12,Studying,3,Idea Drafted,True,3.1,5,Thursday,0.2912621359223301,31-60,History,1
SESSION00070,Graduate,Computer Science,2024-06-26,16.56,6,Homework Help,2,Assignment Completed,True,3.0,6,Wednesday,0.3623188405797102,16-30,Computer Science,2
SESSION00071,Undergraduate,Engineering,2024-10-24,10.4,3,Studying,4,Idea Drafted,True,5.0,10,Thursday,0.28846153846153844,6-15,Engineering,1
SESSION00072,Undergraduate,Business,2025-05-24,11.04,5,Coding,3,Confused,False,2.3,5,Saturday,0.4528985507246377,6-15,Business,1
SESSION00073,Undergraduate,Math,2024-12-20,5.3,1,Coding,3,Assignment Completed,True,2.3,12,Friday,0.18867924528301888,6-15,Math,1
SESSION00074,High School,Engineering,2024-07-27,14.02,4,Studying,4,Confused,False,4.4,7,Saturday,0.28530670470756064,6-15,Engineering,0
SESSION00075,High School,Psychology,2024-08-15,49.67,10,Writing,5,Assignment Completed,False,5.0,8,Thursday,0.201328769881216,31-60,Psychology,0
SESSION00076,Graduate,Biology,2025-05-17,13.4,3,Studying,4,Assignment Completed,True,5.0,5,Saturday,0.22388059701492538,6-15,Biology,2
SESSION00077,Undergraduate,Engineering,2024-07-31,26.8,8,Writing,3,Idea Drafted,True,2.5,7,Wednesday,0.29850746268656714,16-30,Engineering,1
SESSION00078,Undergraduate,History,2025-02-09,7.29,1,Coding,5,Assignment Completed,True,5.0,2,Sunday,0.13717421124828533,6-15,History,1
SESSION00079,Graduate,Business,2025-01-12,48.37,20,Homework Help,3,Assignment Completed,True,3.2,1,Sunday,0.41347942939838744,31-60,Business,2
SESSION00080,Undergraduate,History,2025-01-28,37.05,13,Coding,2,Idea Drafted,True,1.8,1,Tuesday,0.3508771929824562,31-60,History,1
SESSION00081,Undergraduate,History,2025-04-17,15.94,6,Homework Help,3,Assignment Completed,False,4.3,4,Thursday,0.3764115432873275,16-30,History,1
SESSION00082,Undergraduate,Computer Science,2024-08-08,16.4,4,Studying,4,Assignment Completed,True,4.2,8,Thursday,0.24390243902439027,16-30,Computer Science,1
SESSION00083,Undergraduate,Math,2025-02-09,19.56,7,Brainstorming,5,Confused,False,5.0,2,Sunday,0.35787321063394684,16-30,Math,1
SESSION00084,Graduate,Business,2024-08-15,11.48,2,Homework Help,3,Idea Drafted,True,2.5,8,Thursday,0.17421602787456444,6-15,Business,2
SESSION00085,Undergraduate,Business,2024-12-24,16.28,3,Writing,2,Idea Drafted,False,1.5,12,Tuesday,0.18427518427518427,16-30,Business,1
SESSION00086,High School,Math,2025-01-01,7.34,2,Writing,2,Confused,False,2.6,1,Wednesday,0.2724795640326976,6-15,Math,0
SESSION00087,Graduate,Business,2025-01-24,16.32,3,Coding,5,Assignment Completed,True,4.2,1,Friday,0.1838235294117647,16-30,Business,2
SESSION00088,High School,Business,2025-01-24,14.88,5,Homework Help,3,Assignment Completed,True,4.1,1,Friday,0.33602150537634407,6-15,Business,0
SESSION00089,Undergraduate,History,2025-04-01,14.59,4,Homework Help,3,Assignment Completed,True,3.5,4,Tuesday,0.27416038382453733,6-15,History,1
SESSION00090,Undergraduate,Business,2025-04-15,4.65,1,Studying,4,Confused,False,3.1,4,Tuesday,0.2150537634408602,0-5,Business,1
SESSION00091,Undergraduate,Computer Science,2024-11-03,24.83,8,Writing,3,Assignment Completed,True,3.4,11,Sunday,0.3221908981071285,16-30,Computer Science,1
SESSION00092,Undergraduate,Biology,2024-08-09,10.39,2,Writing,5,Assignment Completed,False,5.0,8,Friday,0.19249278152069296,6-15,Biology,1
SESSION00093,Undergraduate,Math,2025-02-21,35.49,16,Homework Help,5,Confused,True,5.0,2,Friday,0.4508312200619893,31-60,Math,1
SESSION00094,Graduate,History,2025-05-04,12.9,3,Homework Help,2,Confused,True,1.0,5,Sunday,0.23255813953488372,6-15,History,2
SESSION00095,High School,Business,2024-07-06,9.77,2,Homework Help,2,Assignment Completed,True,2.0,7,Saturday,0.2047082906857728,6-15,Business,0
SESSION00096,Graduate,Biology,2025-04-25,11.12,4,Writing,4,Gave Up,False,3.9,4,Friday,0.3597122302158274,6-15,Biology,2
SESSION00097,High School,History,2025-05-14,30.82,14,Homework Help,4,Assignment Completed,True,2.3,5,Wednesday,0.45425048669695,31-60,History,0
SESSION00098,Undergraduate,Engineering,2025-02-26,27.26,7,Homework Help,3,Gave Up,True,2.8,2,Wednesday,0.25678650036683787,16-30,Engineering,1
SESSION00099,Undergraduate,Math,2024-10-25,11.17,3,Studying,4,Idea Drafted,True,2.7,10,Friday,0.26857654431512984,6-15,Math,1
SESSION00100,Graduate,Psychology,2024-09-27,4.68,1,Studying,3,Confused,False,2.8,9,Friday,0.2136752136752137,0-5,Psychology,2
SESSION00101,Graduate,Biology,2024-10-23,24.33,5,Homework Help,4,Assignment Completed,True,3.5,10,Wednesday,0.20550760378133992,16-30,Biology,2
SESSION00102,Undergraduate,Engineering,2025-01-18,16.16,4,Studying,4,Assignment Completed,True,1.9,1,Saturday,0.24752475247524752,16-30,Engineering,1
SESSION00103,Undergraduate,Business,2025-05-09,8.75,3,Homework Help,3,Idea Drafted,True,1.0,5,Friday,0.34285714285714286,6-15,Business,1
SESSION00104,Undergraduate,Psychology,2024-12-06,14.9,3,Writing,3,Idea Drafted,False,1.6,12,Friday,0.20134228187919462,6-15,Psychology,1
SESSION00105,Undergraduate,Biology,2024-10-15,14.8,5,Coding,3,Assignment Completed,True,3.0,10,Tuesday,0.33783783783783783,6-15,Biology,1
SESSION00106,Undergraduate,Business,2024-07-09,7.82,2,Studying,4,Idea Drafted,True,3.7,7,Tuesday,0.2557544757033248,6-15,Business,1
SESSION00107,Undergraduate,Psychology,2025-05-23,39.45,8,Studying,4,Idea Drafted,True,3.2,5,Friday,0.20278833967046894,31-60,Psychology,1
SESSION00108,High School,Business,2024-08-04,16.63,4,Studying,1,Confused,False,1.5,8,Sunday,0.24052916416115455,16-30,Business,0
SESSION00109,Graduate,Math,2024-07-15,41.83,16,Studying,2,Idea Drafted,False,1.9,7,Monday,0.38250059765718386,31-60,Math,2
SESSION00110,Graduate,Engineering,2025-06-23,15.97,6,Writing,3,Assignment Completed,True,3.5,6,Monday,0.37570444583594237,16-30,Engineering,2
SESSION00111,Graduate,Computer Science,2024-10-18,39.43,16,Research,4,Gave Up,False,5.0,10,Friday,0.4057823991884352,31-60,Computer Science,2
SESSION00112,Undergraduate,Biology,2025-03-09,28.36,7,Writing,4,Assignment Completed,True,3.9,3,Sunday,0.2468265162200282,16-30,Biology,1
SESSION00113,Undergraduate,Biology,2024-08-16,10.94,5,Coding,5,Idea Drafted,True,3.6,8,Friday,0.4570383912248629,6-15,Biology,1
SESSION00114,Undergraduate,Psychology,2025-03-21,25.5,6,Homework Help,3,Assignment Completed,True,3.6,3,Friday,0.23529411764705882,16-30,Psychology,1
SESSION00115,High School,Math,2024-10-02,23.19,9,Homework Help,4,Assignment Completed,False,2.9,10,Wednesday,0.3880983182406209,16-30,Math,0
SESSION00116,High School,Business,2025-05-06,13.61,3,Writing,3,Idea Drafted,True,3.6,5,Tuesday,0.2204261572373255,6-15,Business,0
SESSION00117,Graduate,Psychology,2024-11-18,18.01,4,Writing,3,Idea Drafted,True,3.1,11,Monday,0.22209883398112157,16-30,Psychology,2
SESSION00118,Undergraduate,Biology,2024-08-22,22.8,4,Writing,4,Confused,False,3.7,8,Thursday,0.17543859649122806,16-30,Biology,1
SESSION00119,Undergraduate,Computer Science,2024-10-11,15.91,5,Research,4,Idea Drafted,False,3.1,10,Friday,0.3142677561282212,16-30,Computer Science,1
SESSION00120,Undergraduate,Math,2024-11-03,20.93,9,Studying,5,Assignment Completed,True,5.0,11,Sunday,0.43000477783086477,16-30,Math,1
SESSION00121,Undergraduate,History,2025-05-20,33.88,7,Writing,5,Idea Drafted,True,4.3,5,Tuesday,0.20661157024793386,31-60,History,1
SESSION00122,High School,Biology,2024-12-01,7.12,3,Brainstorming,3,Assignment Completed,False,2.4,12,Sunday,0.42134831460674155,6-15,Biology,0
SESSION00123,Undergraduate,Engineering,2024-07-22,19.37,4,Studying,2,Gave Up,False,2.7,7,Monday,0.20650490449148165,16-30,Engineering,1
SESSION00124,Undergraduate,Math,2025-01-16,16.79,4,Brainstorming,5,Confused,False,4.4,1,Thursday,0.23823704586063135,16-30,Math,1
SESSION00125,Graduate,Biology,2024-11-12,13.61,3,Brainstorming,5,Assignment Completed,True,3.6,11,Tuesday,0.2204261572373255,6-15,Biology,2
SESSION00126,Undergraduate,Math,2024-07-23,19.28,5,Writing,3,Assignment Completed,False,2.5,7,Tuesday,0.2593360995850622,16-30,Math,1
SESSION00127,Graduate,Biology,2025-01-03,16.64,4,Studying,3,Gave Up,True,2.5,1,Friday,0.24038461538461536,16-30,Biology,2
SESSION00128,Undergraduate,Psychology,2024-10-21,18.61,4,Writing,5,Assignment Completed,True,4.4,10,Monday,0.21493820526598603,16-30,Psychology,1
SESSION00129,High School,Computer Science,2025-04-06,14.37,4,Research,5,Assignment Completed,False,4.7,4,Sunday,0.2783576896311761,6-15,Computer Science,0
SESSION00130,Undergraduate,Psychology,2024-10-18,3.6,1,Writing,4,Assignment Completed,True,4.9,10,Friday,0.2777777777777778,0-5,Psychology,1
SESSION00131,Undergraduate,History,2024-11-29,37.72,7,Writing,3,Assignment Completed,True,2.9,11,Friday,0.1855779427359491,31-60,History,1
SESSION00132,Undergraduate,Math,2024-07-02,8.05,2,Coding,5,Assignment Completed,True,4.5,7,Tuesday,0.24844720496894407,6-15,Math,1
SESSION00133,Undergraduate,Psychology,2024-07-04,20.21,5,Studying,3,Idea Drafted,False,2.6,7,Thursday,0.24740227610094012,16-30,Psychology,1
SESSION00134,Graduate,Psychology,2024-10-12,14.06,3,Homework Help,5,Gave Up,False,5.0,10,Saturday,0.21337126600284495,6-15,Psychology,2
SESSION00135,Undergraduate,Computer Science,2024-10-29,15.82,4,Writing,4,Idea Drafted,True,3.6,10,Tuesday,0.2528445006321112,16-30,Computer Science,1
SESSION00136,High School,Computer Science,2024-09-03,6.97,2,Studying,4,Gave Up,False,4.2,9,Tuesday,0.28694404591104733,6-15,Computer Science,0
SESSION00137,Undergraduate,Business,2025-03-27,2.54,1,Coding,5,Idea Drafted,True,5.0,3,Thursday,0.39370078740157477,0-5,Business,1
SESSION00138,Graduate,Psychology,2024-07-30,10.73,4,Writing,4,Idea Drafted,False,5.0,7,Tuesday,0.3727865796831314,6-15,Psychology,2
SESSION00139,Undergraduate,Business,2025-05-27,18.37,4,Coding,5,Assignment Completed,True,5.0,5,Tuesday,0.21774632553075665,16-30,Business,1
SESSION00140,Graduate,Math,2024-08-16,8.62,2,Coding,3,Assignment Completed,True,2.1,8,Friday,0.2320185614849188,6-15,Math,2
SESSION00141,Undergraduate,Computer Science,2025-06-20,23.52,11,Writing,3,Assignment Completed,True,2.3,6,Friday,0.467687074829932,16-30,Computer Science,1
SESSION00142,Undergraduate,History,2025-01-13,20.13,5,Research,5,Idea Drafted,False,5.0,1,Monday,0.24838549428713363,16-30,History,1
SESSION00143,Graduate,History,2025-02-13,15.46,4,Studying,5,Confused,False,5.0,2,Thursday,0.258732212160414,16-30,History,2
SESSION00144,Undergraduate,History,2025-02-11,14.86,6,Brainstorming,3,Assignment Completed,True,2.7,2,Tuesday,0.4037685060565276,6-15,History,1
SESSION00145,Graduate,Computer Science,2025-05-20,18.14,6,Coding,3,Assignment Completed,True,2.3,5,Tuesday,0.33076074972436603,16-30,Computer Science,2
SESSION00146,High School,Business,2024-08-01,16.64,7,Brainstorming,5,Assignment Completed,True,5.0,8,Thursday,0.4206730769230769,16-30,Business,0
SESSION00147,Undergraduate,Math,2024-11-11,31.16,6,Writing,3,Idea Drafted,True,2.8,11,Monday,0.1925545571245186,31-60,Math,1
SESSION00148,Undergraduate,Engineering,2024-08-07,11.21,3,Studying,3,Idea Drafted,True,1.6,8,Wednesday,0.2676181980374665,6-15,Engineering,1
SESSION00149,Undergraduate,Psychology,2024-07-30,10.41,2,Writing,4,Assignment Completed,True,2.8,7,Tuesday,0.19212295869356388,6-15,Psychology,1
SESSION00150,Undergraduate,Math,2024-10-04,26.97,6,Homework Help,4,Confused,False,3.7,10,Friday,0.2224694104560623,16-30,Math,1
SESSION00151,High School,Computer Science,2025-04-18,22.46,10,Studying,3,Confused,True,2.6,4,Friday,0.44523597506678536,16-30,Computer Science,0
SESSION00152,Graduate,Psychology,2024-10-31,7.53,2,Studying,4,Assignment Completed,True,3.2,10,Thursday,0.2656042496679947,6-15,Psychology,2
SESSION00153,Graduate,Biology,2024-10-25,14.95,3,Coding,4,Idea Drafted,True,2.2,10,Friday,0.20066889632107024,6-15,Biology,2
SESSION00154,Undergraduate,Engineering,2025-06-04,15.7,5,Homework Help,5,Assignment Completed,True,3.3,6,Wednesday,0.3184713375796179,16-30,Engineering,1
SESSION00155,Graduate,Computer Science,2024-08-11,25.73,8,Homework Help,4,Assignment Completed,True,3.7,8,Sunday,0.3109211037699184,16-30,Computer Science,2
SESSION00156,Undergraduate,Business,2024-09-02,7.61,3,Homework Help,3,Assignment Completed,True,3.2,9,Monday,0.39421813403416556,6-15,Business,1
SESSION00157,Undergraduate,Business,2025-02-02,20.22,6,Homework Help,2,Assignment Completed,True,1.0,2,Sunday,0.2967359050445104,16-30,Business,1
SESSION00158,Undergraduate,Business,2024-09-14,14.04,3,Coding,4,Idea Drafted,True,4.2,9,Saturday,0.2136752136752137,6-15,Business,1
SESSION00159,Graduate,Computer Science,2025-02-05,12.47,4,Homework Help,2,Assignment Completed,True,3.8,2,Wednesday,0.32076984763432237,6-15,Computer Science,2
SESSION00160,Undergraduate,Engineering,2025-04-30,6.51,1,Coding,4,Assignment Completed,True,4.0,4,Wednesday,0.15360983102918588,6-15,Engineering,1
SESSION00161,Undergraduate,Business,2024-07-24,11.77,4,Coding,3,Assignment Completed,True,2.9,7,Wednesday,0.33984706881903143,6-15,Business,1
SESSION00162,Undergraduate,History,2024-09-21,13.1,2,Writing,3,Assignment Completed,True,1.3,9,Saturday,0.15267175572519084,6-15,History,1
SESSION00163,Graduate,Psychology,2024-07-13,3.22,1,Homework Help,5,Assignment Completed,True,4.8,7,Saturday,0.3105590062111801,0-5,Psychology,2
SESSION00164,High School,Engineering,2024-10-09,11.77,2,Writing,5,Assignment Completed,False,4.4,10,Wednesday,0.16992353440951571,6-15,Engineering,0
SESSION00165,High School,Computer Science,2024-10-22,8.04,1,Writing,3,Assignment Completed,False,3.3,10,Tuesday,0.12437810945273634,6-15,Computer Science,0
SESSION00166,High School,Business,2025-05-16,8.32,1,Studying,2,Idea Drafted,False,1.0,5,Friday,0.12019230769230768,6-15,Business,0
SESSION00167,High School,Computer Science,2025-04-15,11.18,3,Homework Help,3,Confused,True,3.2,4,Tuesday,0.26833631484794274,6-15,Computer Science,0
SESSION00168,Undergraduate,Math,2025-01-23,40.08,9,Coding,4,Assignment Completed,True,4.1,1,Thursday,0.22455089820359284,31-60,Math,1
SESSION00169,Undergraduate,Engineering,2025-04-13,8.02,2,Coding,4,Assignment Completed,True,4.7,4,Sunday,0.24937655860349128,6-15,Engineering,1
SESSION00170,Undergraduate,Computer Science,2025-01-20,6.85,1,Writing,4,Confused,False,4.7,1,Monday,0.14598540145985403,6-15,Computer Science,1
SESSION00171,Undergraduate,Business,2025-06-13,24.99,5,Studying,4,Idea Drafted,True,3.3,6,Friday,0.20008003201280514,16-30,Business,1
SESSION00172,Undergraduate,Engineering,2025-05-23,1.2,1,Studying,4,Assignment Completed,False,3.9,5,Friday,0.8333333333333334,0-5,Engineering,1
SESSION00173,Undergraduate,Engineering,2024-07-24,21.11,8,Homework Help,3,Assignment Completed,True,3.3,7,Wednesday,0.37896731406916156,16-30,Engineering,1
SESSION00174,High School,Math,2025-05-05,13.04,3,Writing,2,Confused,False,1.0,5,Monday,0.23006134969325154,6-15,Math,0
SESSION00175,Undergraduate,Engineering,2025-03-27,20.31,7,Studying,4,Idea Drafted,True,4.0,3,Thursday,0.34465780403742,16-30,Engineering,1
SESSION00176,Undergraduate,Psychology,2025-01-23,16.66,3,Writing,3,Assignment Completed,True,3.1,1,Thursday,0.18007202881152462,16-30,Psychology,1
SESSION00177,Undergraduate,Business,2025-06-22,13.47,2,Writing,4,Assignment Completed,True,3.8,6,Sunday,0.14847809948032664,6-15,Business,1
SESSION00178,Undergraduate,Biology,2025-02-03,9.27,2,Writing,4,Assignment Completed,True,5.0,2,Monday,0.21574973031283712,6-15,Biology,1
SESSION00179,Undergraduate,Engineering,2025-05-27,11.43,2,Writing,3,Assignment Completed,True,3.3,5,Tuesday,0.17497812773403326,6-15,Engineering,1
SESSION00180,Graduate,Psychology,2025-03-19,19.55,8,Coding,3,Confused,False,1.2,3,Wednesday,0.4092071611253197,16-30,Psychology,2
SESSION00181,Undergraduate,Computer Science,2025-01-22,8.34,2,Writing,3,Assignment Completed,True,4.9,1,Wednesday,0.23980815347721823,6-15,Computer Science,1
